srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
1,51637,192.168.1.1,53,17,1,66,1,126,66,66,66,0,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,126,0,0,0,0,66,126,0,0
1,57557,192.168.1.1,53,17,1,73,1,89,73,73,73,0,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,1,89,0,0,0,0,73,89,0,0
1,49752,192.168.1.1,53,17,1,63,1,91,63,63,63,0,91,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,91,0,0,0,0,63,91,0,0
1,58232,192.168.1.1,53,17,2,134,2,166,67,67,67,0,83,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,134,2,166,0,0,0,0,134,166,0,0
1,52438,192.168.1.1,53,17,1,61,1,104,61,61,61,0,104,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,104,0,0,0,0,61,104,0,0
1,8154,5.9.58.111,45791,6,9,527,8,1972,40,58,116,30,40,246,388,156,1,4,27,9,1,5,27,9,35,35,35,35,0,0,0,0,0,9,527,8,1972,2,6,0,0,384,332,0,1
1,63867,192.168.1.1,53,17,2,146,2,178,73,73,73,0,89,89,89,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,146,2,178,0,0,0,0,146,178,0,0
1,8028,46.4.119.208,45550,6,26,2150,23,6063,40,82,283,89,40,263,404,131,33,19,124,28,3,22,124,29,495,495,495,495,0,0,0,0,0,26,2150,23,6063,5,19,0,0,1064,944,0,1
1,55780,192.168.1.1,53,17,2,144,2,200,72,72,72,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,2,200,0,0,0,0,144,200,0,0
1,53507,192.168.1.1,53,17,1,63,1,95,63,63,63,0,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,95,0,0,0,0,63,95,0,0
1,8151,94.130.143.162,443,6,17,2432,16,6041,40,143,995,254,40,377,1492,490,1,2,10,3,8,2,11,4,37,37,37,37,0,0,0,0,0,17,2432,16,6041,7,11,0,0,692,652,0,0
1,50952,192.168.1.1,53,17,1,68,1,244,68,68,68,0,244,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,1,244,0,0,0,0,68,244,0,0
1,61914,192.168.1.1,53,17,2,126,2,342,63,63,63,0,171,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,126,2,342,0,0,0,0,126,342,0,0
1,53540,192.168.1.1,53,17,1,71,1,87,71,71,71,0,87,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,1,87,0,0,0,0,71,87,0,0
1,61838,192.168.1.1,53,17,1,69,1,97,69,69,69,0,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,97,0,0,0,0,69,97,0,0
1,60168,192.168.1.1,53,17,1,61,1,77,61,61,61,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,77,0,0,0,0,61,77,0,0
